ID,BBOX,VERSION,SOURCES,LEVEL,SUBTYPE,CLASS,HEIGHT,NAMES,HAS_PARTS,IS_UNDERGROUND,NUM_FLOORS,NUM_FLOORS_UNDERGROUND,MIN_HEIGHT,MIN_FLOOR,FACADE_COLOR,FACADE_MATERIAL,ROOF_MATERIAL,ROOF_SHAPE,ROOF_DIRECTION,ROOF_ORIENTATION,ROOF_COLOR,ROOF_HEIGHT,GEOMETRY
08b60ab6a3b1dfff0200e3de8d5d2287,"{
  ""xmax"": 7.399706268310547e+01,
  ""xmin"": 7.399692535400391e+01,
  ""ymax"": 1.696368598937988e+01,
  ""ymin"": 1.696357917785645e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""confidence"": 8.723000000000000e-01,
        ""dataset"": ""Google Open Buildings"",
        ""property"": """",
        ""record_id"": ""7J8MXX7W+FQ59"",
        ""update_time"": ""2023-05-01T00:00:00.000Z""
      }
    }
  ]
}",,,,,,false,false,,,,,,,,,,,,,"{
  ""coordinates"": [
    [
      [
        73.9970274,
        16.9635796
      ],
      [
        73.9970552,
        16.9636528
      ],
      [
        73.9969651,
        16.9636845
      ],
      [
        73.9969373,
        16.9636113
      ],
      [
        73.9970274,
        16.9635796
      ]
    ]
  ],
  ""type"": ""Polygon""
}"
08b60ab6a3b01fff02002b2be06d0a27,"{
  ""xmax"": 7.399722290039062e+01,
  ""xmin"": 7.399692535400391e+01,
  ""ymax"": 1.696323013305664e+01,
  ""ymin"": 1.696308326721191e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""confidence"": 8.364000000000000e-01,
        ""dataset"": ""Google Open Buildings"",
        ""property"": """",
        ""record_id"": ""7J8MXX7W+7R8F"",
        ""update_time"": ""2023-05-01T00:00:00.000Z""
      }
    }
  ]
}",,,,,,false,false,,,,,,,,,,,,,"{
  ""coordinates"": [
    [
      [
        73.9971996,
        16.9630839
      ],
      [
        73.9972159,
        16.9632149
      ],
      [
        73.9971545,
        16.9632219
      ],
      [
        73.9971525,
        16.9632054
      ],
      [
        73.9969455,
        16.9632293
      ],
      [
        73.9969312,
        16.9631148
      ],
      [
        73.997008,
        16.963106
      ],
      [
        73.9970106,
        16.9631268
      ],
      [
        73.9971408,
        16.9631118
      ],
      [
        73.9971382,
        16.963091
      ],
      [
        73.9971996,
        16.9630839
      ]
    ]
  ],
  ""type"": ""Polygon""
}"
08b60ab6a3b82fff0200a1e2a0589b16,"{
  ""xmax"": 7.399846649169922e+01,
  ""xmin"": 7.399835968017578e+01,
  ""ymax"": 1.696685218811035e+01,
  ""ymin"": 1.696677017211914e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""confidence"": 9.083000000000000e-01,
        ""dataset"": ""Google Open Buildings"",
        ""property"": """",
        ""record_id"": ""7J8MXX8X+P9FC"",
        ""update_time"": ""2023-05-01T00:00:00.000Z""
      }
    }
  ]
}",,,,,,false,false,,,,,,,,,,,,,"{
  ""coordinates"": [
    [
      [
        73.9984471,
        16.9667705
      ],
      [
        73.998454,
        16.9668446
      ],
      [
        73.9983733,
        16.9668516
      ],
      [
        73.9983664,
        16.9667775
      ],
      [
        73.9984471,
        16.9667705
      ]
    ]
  ],
  ""type"": ""Polygon""
}"
08b60ab6a385dfff02009757d62d939d,"{
  ""xmax"": 7.399983978271484e+01,
  ""xmin"": 7.399974822998047e+01,
  ""ymax"": 1.696479034423828e+01,
  ""ymin"": 1.696470832824707e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""confidence"": 7.514000000000000e-01,
        ""dataset"": ""Google Open Buildings"",
        ""property"": """",
        ""record_id"": ""7J8MXX7X+VWVV"",
        ""update_time"": ""2023-05-01T00:00:00.000Z""
      }
    }
  ]
}",,,,,,false,false,,,,,,,,,,,,,"{
  ""coordinates"": [
    [
      [
        73.9998121,
        16.9647084
      ],
      [
        73.9998372,
        16.964763
      ],
      [
        73.9997741,
        16.9647898
      ],
      [
        73.999749,
        16.9647352
      ],
      [
        73.9998121,
        16.9647084
      ]
    ]
  ],
  ""type"": ""Polygon""
}"
08b60ab6a3849fff0200999047434698,"{
  ""xmax"": 7.399909973144531e+01,
  ""xmin"": 7.399887084960938e+01,
  ""ymax"": 1.696430969238281e+01,
  ""ymin"": 1.696414375305176e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""confidence"": 8.419000000000000e-01,
        ""dataset"": ""Google Open Buildings"",
        ""property"": """",
        ""record_id"": ""7J8MXX7X+MHX8"",
        ""update_time"": ""2023-05-01T00:00:00.000Z""
      }
    }
  ]
}",,,,,,false,false,,,,,,,,,,,,,"{
  ""coordinates"": [
    [
      [
        73.9990453,
        16.9641439
      ],
      [
        73.9990961,
        16.9642838
      ],
      [
        73.999037,
        16.9643037
      ],
      [
        73.9990251,
        16.9642709
      ],
      [
        73.9989121,
        16.9643089
      ],
      [
        73.9988732,
        16.9642018
      ],
      [
        73.9990453,
        16.9641439
      ]
    ]
  ],
  ""type"": ""Polygon""
}"
08b60ab6a3806fff0200258cea79bfdf,"{
  ""xmax"": 7.400364685058594e+01,
  ""xmin"": 7.400360870361328e+01,
  ""ymax"": 1.696564483642578e+01,
  ""ymin"": 1.696561241149902e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""confidence"": 6.647999999999999e-01,
        ""dataset"": ""Google Open Buildings"",
        ""property"": """",
        ""record_id"": ""7J8PX283+7F22"",
        ""update_time"": ""2023-05-01T00:00:00.000Z""
      }
    }
  ]
}",,,,,,false,false,,,,,,,,,,,,,"{
  ""coordinates"": [
    [
      [
        74.0036409,
        16.9656159
      ],
      [
        74.0036373,
        16.9656443
      ],
      [
        74.00361,
        16.9656411
      ],
      [
        74.0036136,
        16.9656127
      ],
      [
        74.0036409,
        16.9656159
      ]
    ]
  ],
  ""type"": ""Polygon""
}"
08b60ab6a3844fff0200d6d58347f1a7,"{
  ""xmax"": 7.400096130371094e+01,
  ""xmin"": 7.400085449218750e+01,
  ""ymax"": 1.696433448791504e+01,
  ""ymin"": 1.696424484252930e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""confidence"": 7.834000000000000e-01,
        ""dataset"": ""Google Open Buildings"",
        ""property"": """",
        ""record_id"": ""7J8PX272+P96Q"",
        ""update_time"": ""2023-05-01T00:00:00.000Z""
      }
    }
  ]
}",,,,,,false,false,,,,,,,,,,,,,"{
  ""coordinates"": [
    [
      [
        74.0009181,
        16.9642453
      ],
      [
        74.0009278,
        16.9642831
      ],
      [
        74.0009493,
        16.964278
      ],
      [
        74.0009585,
        16.9643141
      ],
      [
        74.0008738,
        16.9643342
      ],
      [
        74.0008549,
        16.9642603
      ],
      [
        74.0009181,
        16.9642453
      ]
    ]
  ],
  ""type"": ""Polygon""
}"
08b60ab6a3ba1fff0200bfffb7f3cd94,"{
  ""xmax"": 7.399848937988281e+01,
  ""xmin"": 7.399839019775391e+01,
  ""ymax"": 1.696507072448730e+01,
  ""ymin"": 1.696501731872559e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""confidence"": 7.915000000000000e-01,
        ""dataset"": ""Google Open Buildings"",
        ""property"": """",
        ""record_id"": ""7J8MXX8X+297Q"",
        ""update_time"": ""2023-05-01T00:00:00.000Z""
      }
    }
  ]
}",,,,,,false,false,,,,,,,,,,,,,"{
  ""coordinates"": [
    [
      [
        73.9984784,
        16.9650192
      ],
      [
        73.9984818,
        16.9650634
      ],
      [
        73.9983961,
        16.9650694
      ],
      [
        73.9983928,
        16.9650252
      ],
      [
        73.9984784,
        16.9650192
      ]
    ]
  ],
  ""type"": ""Polygon""
}"
08b60ab6a3b18fff02001e134cd65dd2,"{
  ""xmax"": 7.399716949462891e+01,
  ""xmin"": 7.399692535400391e+01,
  ""ymax"": 1.696417999267578e+01,
  ""ymin"": 1.696399307250977e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""confidence"": 8.088000000000000e-01,
        ""dataset"": ""Google Open Buildings"",
        ""property"": """",
        ""record_id"": ""7J8MXX7W+JRMF"",
        ""update_time"": ""2023-05-01T00:00:00.000Z""
      }
    }
  ]
}",,,,,,false,false,,,,,,,,,,,,,"{
  ""coordinates"": [
    [
      [
        73.9971682,
        16.9640955
      ],
      [
        73.9969976,
        16.9641787
      ],
      [
        73.9969315,
        16.9640532
      ],
      [
        73.9970547,
        16.9639931
      ],
      [
        73.9970945,
        16.9640687
      ],
      [
        73.9971419,
        16.9640456
      ],
      [
        73.9971682,
        16.9640955
      ]
    ]
  ],
  ""type"": ""Polygon""
}"
08b60ab6a3b9cfff0200ae9ae1e169f4,"{
  ""xmax"": 7.399787139892578e+01,
  ""xmin"": 7.399768829345703e+01,
  ""ymax"": 1.696713638305664e+01,
  ""ymin"": 1.696696662902832e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""confidence"": 8.941000000000000e-01,
        ""dataset"": ""Google Open Buildings"",
        ""property"": """",
        ""record_id"": ""7J8MXX8X+R4C5"",
        ""update_time"": ""2023-05-01T00:00:00.000Z""
      }
    }
  ]
}",,,,,,false,false,,,,,,,,,,,,,"{
  ""coordinates"": [
    [
      [
        73.9977631,
        16.9669683
      ],
      [
        73.9978653,
        16.96706
      ],
      [
        73.9977921,
        16.9671356
      ],
      [
        73.9976899,
        16.9670439
      ],
      [
        73.9977631,
        16.9669683
      ]
    ]
  ],
  ""type"": ""Polygon""
}"
