GEOGRAPHY,XLON,XLAT,BOUNDS,ACTIVITY_INDEX_TOTAL,WKT
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.034536,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.90617,34.39841,"-88.90686,34.39784,-88.90549,34.39898",0.041389,"POLYGON ((-88.90549 34.39898, -88.90686 34.39898, -88.90686 34.39784, -88.90549 34.39784, -88.90549 34.39898))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.024002,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.040299,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.028075,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.020697,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.038307,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.021747,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.034493,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.025716,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.027397,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
032002023320213322,-88.906173706,34.398411518,"-88.9068603515625,34.39784494644986,-88.90548706054688,34.398978088913694",0.027338,"POLYGON ((-88.90548706054688 34.398978088913694, -88.9068603515625 34.398978088913694, -88.9068603515625 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.398978088913694))"
