GEO,X,Y,FID,CALCLOCATI,CALCLOCA_1,CALCLOCA_2,NAME,ADDRESS,CITY,STATE,ZIP,FORMATED_P,STATUS,ICON,TYPE_,OBJECTID
"{
  ""coordinates"": [
    -9.237550000000000e+01,
    3.473980000000000e+01
  ],
  ""type"": ""Point""
}",-92.3755,34.7398,34,"34.73979200,-92.37545600",-92.375456,34.739792,WESTSIDE DIALYSIS UNIT LLC,1515 KANIS PARK DR,LITTLE ROCK,AR,72204,Please call patient admission line,open,small_green,Dialysis Center,934
"{
  ""coordinates"": [
    -9.323620000000000e+01,
    3.328050000000000e+01
  ],
  ""type"": ""Point""
}",-93.2362,33.2805,1050,"33.28051800,-93.23616600",-93.236166,33.280518,KIDNEY DISEASE AND DIALYSIS CLINIC OF MAGNOLIA,1411 N JACKSON,MAGNOLIA,AR,71754,Please call patient admission line,open,small_green,Dialysis Center,1057
"{
  ""coordinates"": [
    -9.284910000000001e+01,
    3.358500000000000e+01
  ],
  ""type"": ""Point""
}",-92.8491,33.585,1051,"33.58498800,-92.84910000",-92.8491,33.584988,DAVITA - OUACHITA VALLEY DIALYSIS,1114 WASHINGTON NW,CAMDEN,AR,71701,Please call patient admission line,open,small_green,Dialysis Center,1058
"{
  ""coordinates"": [
    -9.306120000000000e+01,
    3.447270000000000e+01
  ],
  ""type"": ""Point""
}",-93.0612,34.4727,1052,"34.47268300,-93.06119600",-93.061196,34.472683,DAVITA - HOT SPRINGS DIALYSIS,115 WRIGHTS ST STE A,HOT SPRINGS,AR,71913,Please call patient admission line,open,small_green,Dialysis Center,1059
"{
  ""coordinates"": [
    -9.114019999999999e+01,
    3.046650000000000e+01
  ],
  ""type"": ""Point""
}",-91.1402,30.4665,1053,"30.46649700,-91.14018400",-91.140184,30.466497,FMCNA - FOSTER DR DIALYSIS SVCS,1919 N FOSTER DR,BATON ROUGE,LA,70806,Please call patient admission line,open,small_green,Dialysis Center,1060
"{
  ""coordinates"": [
    -9.056430000000000e+01,
    2.970340000000000e+01
  ],
  ""type"": ""Point""
}",-90.5643,29.7034,1054,"29.70339200,-90.56434300",-90.564343,29.703392,RACELAND DIALYSIS CTR,4601 HIGHWAY 1,RACELAND,LA,70394,Please call patient admission line,open,small_green,Dialysis Center,1061
"{
  ""coordinates"": [
    -9.217860000000000e+01,
    3.249250000000000e+01
  ],
  ""type"": ""Point""
}",-92.1786,32.4925,1055,"32.49247900,-92.17861700",-92.178617,32.492479,FMCNA - OUACHITA DIALYSIS,102 THOMAS RD STE 306,WEST MONROE,LA,71291,Please call patient admission line,open,small_green,Dialysis Center,1062
"{
  ""coordinates"": [
    -9.110980000000001e+01,
    3.039950000000000e+01
  ],
  ""type"": ""Point""
}",-91.1098,30.3995,1056,"30.39951700,-91.10979600",-91.109796,30.399517,FMCNA - PICARDY KIDNEY CTR,7638 PICARDY AVE STE A,BATON ROUGE,LA,70808,Please call patient admission line,open,small_green,Dialysis Center,1063
"{
  ""coordinates"": [
    -9.335920000000000e+01,
    3.024620000000000e+01
  ],
  ""type"": ""Point""
}",-93.3592,30.2462,1057,"30.24616400,-93.35923900",-93.359239,30.246164,DAVITA - SULPHUR,944 S BEGLIS PKWAY,SULPHUR,LA,70663,Please call patient admission line,open,small_green,Dialysis Center,1064
"{
  ""coordinates"": [
    -9.006210000000000e+01,
    2.999950000000000e+01
  ],
  ""type"": ""Point""
}",-90.0621,29.9995,1058,"29.99953900,-90.06211800",-90.062118,29.999539,DCI - NEW ORLEANS EAST,2077 Caton Street,NEW ORLEANS,LA,70128,Please call patient admission line,open,small_green,Dialysis Center,1065
"{
  ""coordinates"": [
    -9.240620000000000e+01,
    3.277030000000000e+01
  ],
  ""type"": ""Point""
}",-92.4062,32.7703,1059,"32.77031300,-92.40623000",-92.40623,32.770313,FMCNA - FARMERVILLE,108 HILL ST,FARMERVILLE,LA,71241,Please call patient admission line,open,small_green,Dialysis Center,1066
"{
  ""coordinates"": [
    -9.181720000000000e+01,
    2.998860000000000e+01
  ],
  ""type"": ""Point""
}",-91.8172,29.9886,1060,"29.98855600,-91.81725000",-91.81725,29.988556,DCI - KIDNEY CARE OF ACADIANA-NEW IBERIA,902-A S LEWIS AVE,NEW IBERIA,LA,70560,Please call patient admission line,open,small_green,Dialysis Center,1067
"{
  ""coordinates"": [
    -9.021290000000000e+01,
    2.997810000000000e+01
  ],
  ""type"": ""Point""
}",-90.2129,29.9781,1061,"29.97809500,-90.21289100",-90.212891,29.978095,DAVITA - METAIRIE,7100 AIRLINE DR,METAIRIE,LA,70003,Please call patient admission line,open,small_green,Dialysis Center,1068
