ID,BBOX,VERSION,SOURCES,LEVEL,HEIGHT,IS_UNDERGROUND,NUM_FLOORS,NUM_FLOORS_UNDERGROUND,MIN_HEIGHT,MIN_FLOOR,FACADE_COLOR,FACADE_MATERIAL,ROOF_MATERIAL,ROOF_SHAPE,ROOF_DIRECTION,ROOF_ORIENTATION,ROOF_COLOR,ROOF_HEIGHT,BUILDING_ID,GEOMETRY,NAMES
08b1f102b02e5fff0201b189a6c33335,"{
  ""xmax"": 9.159546852111816e+00,
  ""xmin"": 9.159433364868164e+00,
  ""ymax"": 5.234052276611328e+01,
  ""ymin"": 5.234045410156250e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w972320551@1"",
        ""update_time"": ""2021-08-11T16:30:27.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,across,#FF0000,,08b1f102b02e5fff02001505aaf7c712,"{
  ""coordinates"": [
    [
      [
        9.1594404,
        52.3404673
      ],
      [
        9.1595274,
        52.3404559
      ],
      [
        9.1595464,
        52.3405096
      ],
      [
        9.1594531,
        52.3405219
      ],
      [
        9.1594341,
        52.3404682
      ],
      [
        9.1594404,
        52.3404673
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b0254fff020135501327a3e5,"{
  ""xmax"": 9.159844398498535e+00,
  ""xmin"": 9.159672737121582e+00,
  ""ymax"": 5.234113693237305e+01,
  ""ymin"": 5.234101486206055e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w972320542@1"",
        ""update_time"": ""2021-08-11T16:30:27.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,,#FF0000,,08b1f102b0254fff020032139fbeb552,"{
  ""coordinates"": [
    [
      [
        9.1597519,
        52.3411246
      ],
      [
        9.1597119,
        52.3411307
      ],
      [
        9.1596728,
        52.3410359
      ],
      [
        9.1598043,
        52.3410156
      ],
      [
        9.1598435,
        52.3411106
      ],
      [
        9.1598258,
        52.3411134
      ],
      [
        9.1597519,
        52.3411246
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b0256fff02012b3a122d2523,"{
  ""xmax"": 9.159760475158691e+00,
  ""xmin"": 9.159628868103027e+00,
  ""ymax"": 5.234065628051758e+01,
  ""ymin"": 5.234054946899414e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w972320547@1"",
        ""update_time"": ""2021-08-11T16:30:27.000Z""
      }
    }
  ]
}",,,false,,,,,,,,flat,,,#778899,,08b1f102b0256fff0200ffc847a49af5,"{
  ""coordinates"": [
    [
      [
        9.1596625,
        52.3406493
      ],
      [
        9.1596352,
        52.3405793
      ],
      [
        9.1596298,
        52.3405656
      ],
      [
        9.1597274,
        52.3405513
      ],
      [
        9.1597602,
        52.340635
      ],
      [
        9.1596625,
        52.3406493
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b0256fff0201a3b1e3dc9af2,"{
  ""xmax"": 9.159678459167480e+00,
  ""xmin"": 9.159502029418945e+00,
  ""ymax"": 5.234070968627930e+01,
  ""ymin"": 5.234057235717773e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w972320548@1"",
        ""update_time"": ""2021-08-11T16:30:27.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,,#B03060,,08b1f102b0256fff0200ffc847a49af5,"{
  ""coordinates"": [
    [
      [
        9.1596784,
        52.3406899
      ],
      [
        9.1595454,
        52.3407093
      ],
      [
        9.1595022,
        52.3405988
      ],
      [
        9.1596352,
        52.3405793
      ],
      [
        9.1596625,
        52.3406493
      ],
      [
        9.1596784,
        52.3406899
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b02e4fff0201576231c20a7e,"{
  ""xmax"": 9.158590316772461e+00,
  ""xmin"": 9.158526420593262e+00,
  ""ymax"": 5.234038925170898e+01,
  ""ymin"": 5.234033966064453e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w972947047@1"",
        ""update_time"": ""2021-08-13T19:34:20.000Z""
      }
    }
  ]
}",,,false,,,,,,,,flat,,,#FF0000,,08b1f102b02e4fff0200e89b6a1cfea9,"{
  ""coordinates"": [
    [
      [
        9.1585487,
        52.3403887
      ],
      [
        9.1585272,
        52.3403577
      ],
      [
        9.1585687,
        52.340347
      ],
      [
        9.1585901,
        52.340378
      ],
      [
        9.1585487,
        52.3403887
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b0256fff02011488187f8197,"{
  ""xmax"": 9.159793853759766e+00,
  ""xmin"": 9.159734725952148e+00,
  ""ymax"": 5.234089660644531e+01,
  ""ymin"": 5.234083175659180e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w972320543@1"",
        ""update_time"": ""2021-08-11T16:30:27.000Z""
      }
    }
  ]
}",,,false,,,,,,,,flat,,,,,08b1f102b0256fff0200dd9875b9bef8,"{
  ""coordinates"": [
    [
      [
        9.1597348,
        52.3408374
      ],
      [
        9.1597693,
        52.3408321
      ],
      [
        9.1597931,
        52.3408903
      ],
      [
        9.1597586,
        52.3408956
      ],
      [
        9.1597348,
        52.3408374
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b0254fff02018365b7c22c25,"{
  ""xmax"": 9.159847259521484e+00,
  ""xmin"": 9.159751892089844e+00,
  ""ymax"": 5.234117889404297e+01,
  ""ymin"": 5.234110641479492e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w972320541@1"",
        ""update_time"": ""2021-08-11T16:30:27.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,,#FF0000,,08b1f102b0254fff020032139fbeb552,"{
  ""coordinates"": [
    [
      [
        9.1597519,
        52.3411246
      ],
      [
        9.1598258,
        52.3411134
      ],
      [
        9.1598457,
        52.3411615
      ],
      [
        9.1597717,
        52.3411728
      ],
      [
        9.1597519,
        52.3411246
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b0209fff020193a2f7ede83b,"{
  ""xmax"": 9.159432411193848e+00,
  ""xmin"": 9.159330368041992e+00,
  ""ymax"": 5.234132003784180e+01,
  ""ymin"": 5.234127044677734e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w870470198@2"",
        ""update_time"": ""2021-05-17T05:21:17.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,across,#778899,,08b1f102b0272fff020042d4a571f5f0,"{
  ""coordinates"": [
    [
      [
        9.1594322,
        52.3413092
      ],
      [
        9.1593349,
        52.341314
      ],
      [
        9.1593307,
        52.3412819
      ],
      [
        9.159428,
        52.3412772
      ],
      [
        9.1594322,
        52.3413092
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b02eefff0201db0f786d6073,"{
  ""xmax"": 9.160663604736328e+00,
  ""xmin"": 9.160526275634766e+00,
  ""ymax"": 5.233998489379883e+01,
  ""ymin"": 5.233985900878906e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w646003281@2"",
        ""update_time"": ""2021-08-12T17:30:03.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,,#FF0000,,08b1f102b02ecfff0200661c136d5c9c,"{
  ""coordinates"": [
    [
      [
        9.1605267,
        52.3399815
      ],
      [
        9.160533,
        52.339866
      ],
      [
        9.1606632,
        52.3398687
      ],
      [
        9.1606573,
        52.3399755
      ],
      [
        9.1606568,
        52.3399842
      ],
      [
        9.1606416,
        52.3399839
      ],
      [
        9.1605926,
        52.3399829
      ],
      [
        9.1605267,
        52.3399815
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b02eafff0201375c93a09616,"{
  ""xmax"": 9.160692214965820e+00,
  ""xmin"": 9.160451889038086e+00,
  ""ymax"": 5.233963394165039e+01,
  ""ymin"": 5.233953094482422e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w972947118@1"",
        ""update_time"": ""2021-08-13T19:34:34.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,,#FF0000,,08b1f102b02eafff0200121cd6ce89cb,"{
  ""coordinates"": [
    [
      [
        9.1605039,
        52.3395392
      ],
      [
        9.160576,
        52.339541
      ],
      [
        9.1606907,
        52.3395438
      ],
      [
        9.1606892,
        52.3395663
      ],
      [
        9.1606863,
        52.3396113
      ],
      [
        9.1606853,
        52.3396268
      ],
      [
        9.1604522,
        52.3396211
      ],
      [
        9.1604534,
        52.3396027
      ],
      [
        9.1604577,
        52.3395381
      ],
      [
        9.1605039,
        52.3395392
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
